id;i_cd;ten_icd_10;tentienganh;tenthuonggoi;i_c_dcha;ngay_ad;trangthai
1;redefine;Shirt SDD;communities Refined;Pike Borders;payment Rustic;2020-04-27;39108
2;Coordinator;SMTP;matrices;Savings Account redefine Multi-channelled;Team-oriented;2020-04-28;44202
3;interface;open-source hacking;Forge New Mexico;port Pants Shirt;Credit Card Account;2020-04-27;66380
4;Spur calculating;Passage SCSI Hawaii;Steel zero defect;Granite;Program;2020-04-28;64000
5;Multi-channelled;Security;Sleek;Handcrafted Wooden Shirt Architect;UAE Dirham Automotive model;2020-04-27;86791
6;Fork Borders;open-source Burundi;Music;Metal;lime Chilean Peso Unidades de fomento Officer;2020-04-28;73082
7;Table Synergistic Officer;Qatari Rial;Representative whiteboard Health;Auto Loan Account;COM back up Frozen;2020-04-27;68952
8;Nepalese Rupee lavender invoice;Guarani Colorado;deposit Orchestrator;utilisation;recontextualize USB primary;2020-04-27;28868
9;Refined withdrawal copy;Kuwaiti Dinar solid state program;help-desk SAS embrace;Nigeria;firmware;2020-04-27;36646
10;mesh Iceland Krona;Jordan Savings Account;deploy Advanced;New Mexico;Pakistan Rupee;2020-04-27;75934
