id;ma;ten;ma_kcbbd;hang;tuyen;loai;diachi;ghichu
1;Field Bermuda Chair;deposit;sky blue deposit;benchmark;Sleek Wooden Chips bi-directional;Russian Ruble deploy;Roads feed;Director
2;bypassing;array Virginia;bypass;Generic;Savings Account monetize one-to-one;extensible Practical Granite Bacon;Turkish Lira;Profit-focused
3;system-worthy Credit Card Account;Denmark hub collaboration;Tasty Cotton Tuna efficient Producer;Hill Awesome Rubber Computer;Directives payment override;Indonesia;content;back up B2C invoice
4;Via enhance Cotton;Chair Producer Accounts;Switchable Kyat;Money Market Account;1080p;Rubber connecting back-end;Small Wooden Gloves Expanded viral;Incredible Integration
5;Bedfordshire navigating;Village;XML Sausages;Borders Planner navigating;Cambridgeshire;Granite quantifying;CFA Franc BEAC Syrian Arab Republic;back-end digital secured line
6;Graphic Interface;Keyboard;Future-proofed Metrics North Carolina;generating Granite FTP;Investment Account Rubber Legacy;Gloves Cambridgeshire revolutionize;withdrawal;Sleek Steel Hat
7;Versatile;San Marino;Cotton Money Market Account Optimization;solutions Refined deposit;Kids;withdrawal Shirt;South Carolina;Ferry
8;Cambridgeshire;Generic Metal Gloves Administrator Devolved;Rustic;data-warehouse Intelligent Saudi Riyal;Home Loan Account;Manager open-source;orange Soap;Suriname models
9;optical;Ports pink;Iraq Buckinghamshire;interface;Supervisor Inverse Granite;Jewelery logistical;Belize Dollar sky blue Savings Account;Sports
10;Personal Loan Account;primary;Sleek Cotton Computer intermediate withdrawal;compressing Rustic;Wooden FTP;alarm;cross-platform Investment Account;Key mobile Direct
